Department,Number,Order,Title,Description
CHE,1108,0,Numerical Methods,"numerical methods, numerical integration, optimization and solution of partial differential equations. basic concepts in numerical optimization."
CHE,1148,0,Process Data Analytics,"The driving force of the fourth industrial revolution is the processing and analysis of big data to extract knowledge, patterns and information. Chemical, biologics/pharma, oil/gas, financial and manufacturing organizations are in a unique position to benefit from this data revolution, as they collect and store massive amounts of heterogeneous data. Big data is characterized by the 5 V’s: volume, velocity, variety, veracity and value and distributed computing architectures are used to process the data. The first part of this course will be on Apache Spark, a big data processing and computing engine. In the second part, special topics in analytics such as visualization, data quality, interpretable/fair ML and MLOps will be discussed. Prerequisites: An introductory course in data science or machine learning"
CHE,1434,2,Six Sigma for Chemical Processes,Six Sigma is a proven process improvement methodology currently being employed across nearly every type of business and industry. provide a working know-how of the Six Sigma problem solving and process improvement protocol
CIV,1504,1,Applied Probability and Statistics for Civil Engineering,build on the prerequisite introduction to probability in the form of applied probability and statistics with emphasis on techniques appropriate for investigating the random behaviour of complex civil engineering systems. Topics include: a review of probability theory; extreme value distributions; engineering reliability; conditional distributions; applications of common probability models; parameter estimation and confidence intervals; significance testing; elementary Bayesian analysis; simple stochastic processes.
CIV,1506,1,Freight Transportation and ITS Applications,"Efficient movement of freight is crucial for national economic viability. This course introduces the structure of the freight industry and relates it to business logistics and planning of supply chains. Planning of freight services at the strategic, tactical, and operational levels is presented and models of international, inter-city, and urban freight movements are introduced. Shipper behavior related to mode choice, carrier selection, adoption of 3-PL and information technology options is considered. The course also introduces the role of advanced technologies (ITS) in improving freight operations, and the implications of e-commerce on planning of freight services. The course concludes by providing an overview of policy issues, data sources and needs, and the particularities of the Canadian freight transportation context."
CIV,1507,1,Public Transport,"covers a broad range of topics in urban transit operations and planning, with special emphasis on best-practice strategies of modern transit systems. The course will help students: Learn the history of transit and its relationship to urban development, emerging challenges, transit role in society, and new trends and issues; Understand and analyze the factors that affect transit performance and demand; Identify and analyze transit operational and planning problems; Identify possible solutions at the operational level (mostly short-term and line-based) and the strategic level (mostly long-term and network-based), and assess alternative solutions; Understand the relative performance of various transit modes (both conventional and new modes) and their domains of application; and gain knowledge of best-practice transit systems planning and emerging innovations."
CIV,1532,2,Fundamentals of ITS and Traffic Management,"focuses on Intelligent Transportation Systems (ITS) with emphasis on Advanced Traffic Control and Management Systems (ATMS) and applications of Artificial Intelligence (AI) in ATMS. Optimization 
Reinforcement Learning
Introduction to Deep Learning
Freeway Traffic Control and Optimization
Street Traffic Control and Optimization
"
CIV,1538,2,Transportation Demand Analysis,"This course deals with the quantitative analysis and modeling of transportation demand for planning purposes. The course principally deals with urban passenger demand, but an introduction to freight and intercity travel demand is also provided. A theoretical framework for the study of transportation demand is developed from basic micro-economic principles of consumer behaviour. The primary modeling approaches considered are: disaggregate choice models; entropy-based models, and an introduction to the activity-based approach to travel demand modeling. An understanding of the theory of the demand for transportation is coupled with practical experience in the specification, estimation, and use of transportation demand models."
CEM,1002,2,Empirical Study of Cities,"introduction to data analytics, including machine learning, and its application to cities through a series of case studies. Topics include Data Discovery and Wrangling, Classification techniques, Similarity Analysis, Text Mining, and City Performance Measurement. The analysis techniques will be demonstrated using the Rapidminer data analytics software tool.  Students will be required to present a case study of an existing application of data analytics to a city problem, and will work as part of a team to solve a city problem using the aforementioned techniques."
ECE,537,1,Random Processes,"Introduction to the principles and properties of random processes, with applications to communications, control systems, and computer science. Topics include random vectors, random convergence, random processes, specifying random processes, Poisson and Gaussian processes, stationarity, mean square derivatives and integrals, ergodicity, power spectrum, linear systems with stochastic input, mean square estimation, Markov chains, recurrence, absorption, limiting and steady-state distributions, time reversibility, and balance equations"
ECE,1505,0,Convex Optimization," comprehensive coverage of the theoretical foundation and numerical algorithms for convex optimization. Topics include:

Convex sets and convex functions. Convex optimization problems.
Least-square problems. Optimal control problems.
Lagrangian duality theory.
Karush-Kuhn-Tucker theorem. Slater's condition.
Generalized inequalities.
Minimiax optimization and saddle points.
Linear programming, quadratic programming, semidefinite programming and geometric programming.
Numerical algorithms: Descent methods, Newton's method. Interior-point method.
Relaxation."
ECE,1510,1,Advanced Inference Algorithms,"Advanced concepts in machine learning and probabilistic inference. An introductory course on inference algorithms or machine learning should be taken prior to this course. Topics covered: Probability models, neural networks, graphical models, Bayesian networks, factor graphs, Markov random fields (MRFs). Structured models, convolutional networks, transformations as hidden variables, bivariate and trivariate potentials, high-order potentials. Exact probabilistic inference, variable elimination, sum-product and max-product algorithms, factorizing high-order potentials. Approximate probabilistic inference, iterated conditional modes, gradient-based inference, loopy belief propagation, variational techniques, expectation propagation, sampling methods (MCMC). Learning in directed and undirected models, EM, sampling, contrastive divergence. Deep belief networks."
ECE,1657,2,Game Theory and Evolutionary Games,"This course presents a mathematical treatment of classical and evolutionary
game theory. Topics covered in classical game theory: matrix games, continuous games,
Nash equilibrium (NE) solution, existence and uniqueness, best-response mapping. Topics
covered in evolutionary games: evolutionary stable strategy (ESS) concept, NE versus ESS,
replicator dynamics (population dynamics), relation to dynamic asymptotic stability. The
two areas will be connected by learning in games via imitation dynamics, fictitious play,
reinforcement learning and their relation to replicator dynamics. Engineering applications
to communication networks, multi-agent learning will be discussed"
ECE,1778,2,Creative Applications for Mobile Devices,"Natural Language Processing, create new inter-disciplinary applications of mobile devices and software in general"
ECE,1779,1,Introduction to Cloud Computing,"cloud computing. A combination of lectures and hands-on programming assignments expose the student to the leading cloud computing paradigms and programming interfaces (e.g., EC2, Lambda). In addition, lectures provide an overview of the underlying technological concepts that make cloud computing possible (e.g., virtualization, scalability, fault tolerance, security)."
MIE,562,2,Scheduling,"ob shop scheduling, timetabling, project scheduling, and the variety of solution approaches including constraint programming, local search, heuristics, and dispatch rules. Also covered will be information engineering aspects of building scheduling systems. A group project will require the creation a scheduling system using the Warp Shoes database. Evaluation will be based on three terms tests, the project, and the final exam. Students should have a basic knowledge of standard optimization,  scheduling problems and solution techniques"
MIE,1077,2,AI Applications in Robotics III,rtificial Intelligence for Robotics III (AIR III): Advanced AI-Based Robot Applications
MIE,1413,1,Statistical Models in Empirical Research,"s statistical models frequently used in empirical research. For various observational and
experimental data, students will be proficient in generating relevant hypotheses to answer research questions, statistical models g linear regression,
ANOVA, mixed linear models, and generalized linear models (cluster analysis and time series models
will be covered at an introductory level"
MIE,1501,1,Knowledge Modelling and Management,"Information Modeling and Management focuses on the representation and use of information in the context of the web. The firstpart of the course focuses on how information is represented on the Semantic Web, including XML, RDF, SPARQL, Description Logic,and OWL. The second part focuses on the engineering of ontologies and generic ontologies such as time, geospatial, measurement,provenance, trust, etc., and their use in applications such as Smart Cities and Enterprise Modelling."
MIE,1512,2,Data Analytics,"f data management concepts applied to analytics, covering methods and
techniques, including distributed computations on massive datasets and frameworks for enabling large-scale
parallel data processing on clusters of commodity servers. Emphasis is given to data management techniques for analyzing Web Data and Open Datasets Data Management for Analytics. Science"
MIE,1513,1,Decision Support Systems,"This course provides students with an understanding of the role of a decision support system in anorganization, its components, and the theories and techniques used to construct them. The coursewill cover basic technologies for information analysis, knowledge-based problem solving methodssuch as heuristic search, automated deduction, constraint satisfaction, and natural language understanding"
MIE,1517,1,Introduction to Deep Learning,Deep Learning
MIE,1620,0,Linear Programming and Network Flows,"Rigorous introduction to the theory of linear programming. Simplex method,
revised simplex method, duality, dual simplex method. Post-optimality analysis.
Interior point methods. Decomposition methods. Network flow algorithms.
Maximum flow, shortest path, assignment, min cost flow problems."
MIE,1621,1,Non­Linear Optimization,"Theory and computational methods of non-linear optimization. Convex sets, convex and
concave functions. Unconstrained and Constrained Optimization. Quadratic Programming. Optimality conditions
and convergence results. Karush-Kuhn-Tucker conditions. Introduction to penalty and barrier methods. Duality in
nonlinear programming."
MIE,1622,1,Computational Finance and Risk Management,"n: The objective of the course is to examine the construction of computational algorithms in solving financial problems, such as risk-aware decision-making, asset pricing, portfolio optimization and hedging. Considerable attention is devoted to the application of computational and programming techniques to financial, investment and risk management problems. Materials in this course are quantitative and computational in nature as well as analytical. Topics include mean-variance portfolio optimization, simulation (Monte Carlo) methods, scenario-based risk optimization, hedging, uncertainty modeling, asset pricing, simulating stochastic processes, and numerical solutions of differential equations"
MIE,1623,0,Introduction to Healthcare Engineering,"the use of industrial engineering techniques in the field of healthcare. Common strategic, tactical, and operational decision-making problems arising in healthcare will be approached from an operations research perspective. Unique aspects of healthcare compared to other industries will be discussed. Real-world datasets will be provided to illustrate the complexity of applying standard operations research methods to healthcare."
MIE,1625,1,Machine Learning for Medical Image Analysis,Machine Learning for Medical Image Analysis
MIE,1628,1,Big Data Science,"Big Data fundamentals including an overview of Hadoop MapReduce and Spark. Covers Cloud fundamentals and Big Data Analytics on Cloud-based platforms including an introduction to a specific Cloud platform such as Microsoft Azure, Amazon Web Services, or Google Cloud Platform along with common practices for this platform. Covers Cloud technologies to store and process structured, unstructured and semi-structured data. Covers Cloud-based implementation of Real-time Analytics and Machine Learning."
MIE,1653,1,Integer Programming Applications, integer programming optimal decisions Lagrangian relaxation
MIE,1666,0,Machine Learning for Mathematical Optimization,Machine Learning for Mathematical Optimization
MIE,1721,0,Reliability,Principles of quality Principles of reliability Reliability of systems Failure rate data and models Quality and reliability in design and manufacture Reliability and availability in maintenance Protective systems
MIE,1723,1,Engineering Asset Management,"determination of optimal maintenance and replacement practices for components and capital equipment. The lectures will be supplemented by case study assignments including short-term deterministic replacement; short-term probabilistic replacement; use of OREST, PERDEC, AGE/CON, EXAKT and SMS software for the optimization of physical asset management decisions."
MIE,1727,1,Statistical Methods of Quality Assurance,"Awareness of the importance of quality has increased dramatically. Understanding and improving quality is a key factor leading to company’s success and its enhanced competitive position. The course focuses on the following topics in Quality Assurance: Introduction to quality engineering, TQM, costs of quality, quality and productivity, statistical process control, process capability analysis and supplier-producer relations, quality standards and certification, six sigma philosophy and methodology, quality/process improvement using designed experiments, and an overview of acceptance sampling."
MIE,1769,1,AI in Automotive and Manufacturing,Automotive and Manufacturing
MSE,1063,1,Application of Artificial Intelligence in Process Metallurgy,"applications of artificial intelligence in metallurgical processes. R and Python programming, understanding data sets, learning statistical methods, learning machine learning techniques, understanding where and when to use a specific machine learning technique, and also understanding the limitations of artificial intelligence and common misconceptions & fallacious statistical interpretations. The students will also be exposed to four real industrial case studies from ferrous, nonferrous and light metals industries. Here students will learn on how data was acquired, what KPIs are tracked, nature of the data, what statistical models and machine learning techniques were employed and finally how machine learning helped improve the process."
